"tract","Name","Household_Income_rP_gP_pall"
36081099701,"Queens County, NY",73003
36059521802,"Massapequa Park, NY",72972
36047045800,"Kings County, NY",72970
36059303302,"Williston Park, NY",72961
36119005400,"Pelham, Village of Pelham, NY",72915
36059411400,"Woodmere, NY",72905
34013016000,"Glen Ridge, NJ",72867
36059407900,"East Meadow, NY",72859
36103111803,"East Northport, NY",72830
36047070201,"Kings County, NY",72830
36059302900,"North New Hyde Park, NY",72828
34039036700,"Westfield, NJ",72805
36047016800,"Kings County, NY",72798
36085015601,"Richmond County, NY",72745
36103110801,"Northport, NY",72741
34027043302,"Morristown, NJ",72684
34013016100,"Upper Montclair, Montclair, NJ",72676
36047064400,"Kings County, NY",72658
36059411301,"Valley Stream, NY",72635
36081129102,"Queens County, NY",72630
36085013800,"Richmond County, NY",72612
36059302000,"Roslyn, NY",72605
34013021803,"West Caldwell, NJ",72552
36103146902,"West Islip, NY",72510
34023000603,"Piscataway Township, NJ",72479
36059408000,"East Meadow, NY",72476
36059415700,"Wantagh, NY",72425
36081142900,"Queens County, NY",72403
36085015602,"Richmond County, NY",72385
36059404700,"New Hyde Park, NY",72373
36081157901,"Queens County, NY",72364
36059520002,"Bethpage, NY",72312
34013021300,"Cedar Grove, NJ",72285
36081092200,"Queens County, NY",72240
36085019700,"Richmond County, NY",72102
36085013201,"Richmond County, NY",72101
34003017400,"Fair Lawn, NJ",72062
34013020300,"Essex County, NJ",72061
34027040801,"Montville, NJ",72052
36061014200,"Upper East Side, New York, NY",72045
34027041901,"East Hanover, NJ",72037
36081133900,"Queens County, NY",72004
34027042800,"Chatham, NJ",71979
34013020200,"Essex County, NJ",71923
34023002102,"Metuchen, NJ",71835
36059303800,"Carle Place, NY",71833
36103110501,"Centerport, NY",71826
36059519900,"Bethpage, NY",71789
34027043100,"Madison, NJ",71778
34027042200,"Cedar Knolls, Hanover, NJ",71755
36081066900,"Queens County, NY",71720
36103147100,"Bay Shore, NY",71711
36059404300,"Bellerose Terrace, Floral Park, NY",71646
36047070600,"Kings County, NY",71596
36061010601,"Midtown, New York, NY",71557
36103112210,"Dix Hills, NY",71555
36059521302,"Massapequa, NY",71551
36081148300,"Queens County, NY",71506
36059412100,"East Rockaway, NY",71495
36081101700,"Queens County, NY",71471
36047075200,"Kings County, NY",71430
36085017009,"Richmond County, NY",71355
36059415101,"Merrick, NY",71350
36047056400,"Kings County, NY",71307
36059518700,"Syosset, NY",71293
36081074900,"Queens County, NY",71267
36059416000,"Seaford, NY",71253
36059521000,"North Massapequa, NY",71203
36059408100,"East Meadow, NY",71172
36061014801,"Upper East Side, New York, NY",71162
36059411700,"Hewlett, NY",71158
36103110200,"Huntington, NY",71055
34027042700,"Chatham, NJ",70962
36119007100,"Larchmont, NY",70960
36103111704,"East Northport, NY",70909
34013019000,"South Orange, NJ",70897
36059522700,"Seaford, NY",70888
36059518100,"East Norwich, NY",70885
36005027401,"Bronx County, NY",70821
34027041602,"Morris Plains, NJ",70777
36059416801,"Long Beach, NY",70740
36059520800,"North Massapequa, NY",70735
36081109300,"Queens County, NY",70716
34027041705,"Parsippany, Parsippany-Troy Hills, NJ",70602
36059414600,"North Merrick, NY",70581
34039037602,"Springfield Township, NJ",70579
36081140902,"Queens County, NY",70549
34027043200,"Madison, NJ",70532
36059411800,"Lynbrook, NY",70519
36047066000,"Kings County, NY",70511
34039038102,"New Providence, NJ",70508
34023001412,"Edison, NJ",70500
36047003800,"Kings County, NY",70490
36103111402,"Huntington Station, NY",70490
34023001001,"South Plainfield, NJ",70471
36059518502,"Jericho, NY",70446
36059413200,"Oceanside, NY",70434
36047020400,"Kings County, NY",70426
36059517901,"Bayville, NY",70421
36061014000,"Upper East Side, New York, NY",70412
36081066501,"Queens County, NY",70389
36103110402,"Centerport, NY",70358
36085017700,"Richmond County, NY",70358
36059301000,"Sands Point, NY",70314
36081145900,"Queens County, NY",70270
36103112206,"Melville, NY",70262
36059416900,"Lido Beach, NY",70254
34039037400,"Cranford, NJ",70247
36081093401,"Queens County, NY",70227
36059300400,"Great Neck, NY",70214
34035052300,"Watchung, NJ",70170
36061006000,"Midtown, New York, NY",70153
36081157101,"Bellerose Manor, Bellerose, NY",70123
36047017200,"Kings County, NY",70087
36085017008,"Richmond County, NY",70086
36103110600,"Northport, NY",70072
36059521801,"Massapequa, NY",70069
36103111401,"Huntington Station, NY",70046
36059410900,"Valley Stream, NY",69984
34039038202,"Berkeley Heights, NJ",69954
36081109900,"Queens County, NY",69920
36059407801,"Westbury, NY",69919
34013021400,"Cedar Grove, NJ",69892
34027041603,"Parsippany, Parsippany-Troy Hills, NJ",69823
34039038500,"Scotch Plains, NJ",69809
36119006900,"Larchmont, NY",69736
36059408400,"Merrick, NY",69731
34039038300,"Mountainside, NJ",69723
34039036301,"Clark, NJ",69722
36081112900,"Queens County, NY",69687
36047056200,"Kings County, NY",69663
36085006700,"Richmond County, NY",69655
34031246101,"Wayne, NJ",69620
34003016000,"Englewood Cliffs, NJ",69570
36059410600,"Valley Stream, NY",69562
36103110803,"Northport, NY",69544
36059413300,"Oceanside, NY",69484
36103112213,"Dix Hills, NY",69422
36059303201,"Garden City Park, NY",69405
36103146704,"West Islip, NY",69375
36085027302,"Richmond County, NY",69373
34013021802,"West Caldwell, NJ",69349
36047061600,"Kings County, NY",69341
36085014700,"Richmond County, NY",69330
36059411600,"Lawrence, NY",69286
34035052201,"Warren, NJ",69282
34003008000,"Cresskill, NJ",69265
36059412302,"Rockville Centre, NY",69248
36059405302,"Franklin Square, NY",69216
34039038101,"New Providence, NJ",69205
36059517400,"Sea Cliff, NY",69143
36085014605,"Richmond County, NY",69138
36047005601,"Kings County, NY",69124
36081127700,"Queens County, NY",69115
36047075600,"Kings County, NY",69072
34027041604,"Morris Plains, NJ",69042
36047054800,"Kings County, NY",69035
34003051100,"Rutherford, NJ",69021
36005033500,"Bronx County, NY",69009
36059405700,"Franklin Square, NY",68960
36005031000,"Bronx County, NY",68955
36081111300,"Queens County, NY",68937
36061015801,"Upper East Side, New York, NY",68924
34013017301,"West Orange, NJ",68915
