"tract","Name","Household_Income_rP_gP_pall"
47037010601,"Madison, Nashville, TN",39425
47037010104,"Joelton, Nashville, TN",39411
47037015623,"Hermitage, Nashville, TN",39309
47149040200,"La Vergne, TN",39250
47037019111,"Antioch, Nashville, TN",39218
47037010802,"Madison, Nashville, TN",39214
47149040102,"La Vergne, TN",39211
47189030600,"Lebanon, TN",38796
47037018904,"Nashville, TN",38622
47165020901,"Gallatin, TN",38546
47189031000,"Watertown, TN",38535
47021070300,"Ashland City, TN",38535
47037019109,"Antioch, Nashville, TN",38444
47169090100,"Hartsville, TN",38323
47149040303,"Smyrna, TN",38287
47149040101,"La Vergne, TN",38284
47037018905,"McMurray, Nashville, TN",38240
47037015631,"Antioch, Nashville, TN",38216
47037015620,"Antioch, Nashville, TN",37820
47169090200,"Hartsville, TN",37672
47037010801,"Madison, Nashville, TN",37607
47037010502,"Nashville, TN",37541
47043060200,"Charlotte, TN",37409
47037015629,"Antioch, Nashville, TN",37378
47125101700,"Cunningham, TN",37366
47037011100,"East Nashville, Nashville, TN",37273
47037013201,"Charlotte Park, Nashville, TN",37080
47165020700,"Gallatin, TN",37040
47037019112,"Antioch, Nashville, TN",37006
47037015612,"Nashboro Village, Nashville, TN",36795
47037015626,"Antioch, Nashville, TN",36790
47037015900,"South Nashville, Nashville, TN",36726
47037015502,"Donelson, Nashville, TN",36550
47165020902,"Gallatin, TN",36525
47043060602,"Dickson, TN",36359
47021070401,"Kingston Springs, TN",36150
47021070104,"Ashland City, TN",36113
47149040305,"Smyrna, TN",35993
47037015700,"Nashville, TN",35923
47165021004,"Goodlettsville, TN",35657
47037010901,"Bellshire Terrace, Nashville, TN",35263
47037010501,"Nashville, TN",34942
47037011500,"East Nashville, Nashville, TN",34905
47037013100,"Scottsboro, Nashville, TN",34840
47149042300,"Murfreesboro, TN",34803
47081950200,"Lyles, TN",34752
47037017402,"Glencliff, Nashville, TN",34734
47037019118,"Antioch, Nashville, TN",34684
47037010602,"Madison, Nashville, TN",34637
47037015627,"Antioch, Nashville, TN",34497
47037019004,"Beverly Heights, Nashville, TN",34497
47189030500,"Lebanon, TN",34224
47037010401,"Madison, Nashville, TN",34042
47149040105,"La Vergne, TN",33822
47037015613,"Antioch, Nashville, TN",33681
47037019003,"Hillbrook, Nashville, TN",33422
47037017500,"Radnor, Nashville, TN",33382
47037019006,"Windsor Park, Nashville, TN",33377
47037011600,"East Nashville, Nashville, TN",33254
47037019108,"Antioch, Nashville, TN",33234
47037015615,"Antioch, Nashville, TN",33157
47037012100,"East Nashville, Nashville, TN",32875
47037015100,"Donelson, Nashville, TN",32857
47189030402,"Lebanon, TN",32713
47037015802,"Glengarry, Nashville, TN",32667
47037018101,"Whitebridge, Nashville, TN",32641
47037010701,"Madison, Nashville, TN",32596
47037010105,"Marrowbone, Nashville, TN",31824
47037017200,"Corinne Place, Nashville, TN",31787
47037017401,"South Nashville, Nashville, TN",31627
47037011002,"Maplewood Heights, Nashville, TN",31312
47037019600,"Nashville, TN",31300
47149040104,"La Vergne, TN",31188
47149040103,"La Vergne, TN",30962
47037019005,"Barcelona Condos, Nashville, TN",30903
47037011200,"East Nashville, Nashville, TN",29886
47037017300,"South Nashville, Nashville, TN",29642
47037017000,"12 South, Nashville, TN",29283
47037010702,"Madison, Nashville, TN",28980
47037013202,"Urbandale Nations, Nashville, TN",28622
47037015803,"Nashville, TN",28071
47037012801,"Haynes Park, Nashville, TN",27924
47037015628,"Antioch, Nashville, TN",27699
47037011001,"Talbot's Corner, Nashville, TN",26998
47037010402,"Madison, Nashville, TN",26812
47037013300,"Urbandale Nations, Nashville, TN",26757
47037015804,"Nashville, TN",26567
47037012701,"Talbot's Corner, Nashville, TN",26242
47037012702,"Haynes Area, Nashville, TN",26093
47037010904,"Parkwood Estates, Nashville, TN",26037
47037016100,"Wedgewood-Houston, Nashville, TN",25881
47037010903,"Village By The Creek, Nashville, TN",25851
47165020800,"Gallatin, TN",25797
47037017100,"Melrose, Nashville, TN",25030
47037011700,"East Nashville, Nashville, TN",24631
47037010106,"Whites Creek, Nashville, TN",24279
47037019200,"East Nashville, Nashville, TN",24266
47189030700,"Lebanon, TN",24093
47037016300,"Edgehill, Nashville, TN",23889
47037011400,"East Nashville, Nashville, TN",22968
47037012802,"Bordeaux Area, Nashville, TN",22827
47037012200,"East Nashville, Nashville, TN",22707
47037014200,"FANG, Nashville, TN",22684
47037016200,"Edgehill, Nashville, TN",21965
47037011300,"East Nashville, Nashville, TN",21363
47037016000,"South Nashville, Nashville, TN",21140
47037013500,"Sylvan Heights, Nashville, TN",21083
47037013800,"North Nashville, Nashville, TN",20811
47037011900,"East Nashville, Nashville, TN",20782
47037012600,"East Nashville, Nashville, TN",19506
47037013601,"College Heights/Clifton, Nashville, TN",19388
47037014300,"Hadley/Washington, Nashville, TN",19064
47037013700,"Buena Vista Heights, Nashville, TN",18797
47037013900,"Elizabeth Park, Nashville, TN",18711
47037011800,"East Nashville, Nashville, TN",18152
47037014400,"Watkins Park, Nashville, TN",17224
47037019400,"Germantown, Nashville, TN",16947
47037019300,"East Nashville, Nashville, TN",16161
47037013602,"Nashville, TN",16065
47037014800,"South Nashville, Nashville, TN",14533
47037980100,"Nashville, TN",
47037013000,"Nashville, TN",
47037980200,"Nashville, TN",
