"tract","Name","Household_Income_rP_gP_pall"
6065030602,"Hawarden Hills, Riverside, CA",62020
6111006200,"Thousand Oaks, CA",61994
6059021830,"Yorba Linda, CA",61885
6059021917,"Orange, CA",61859
6037143902,"Studio City, Los Angeles, CA",61785
6059062628,"Turtle Rock, Irvine, CA",61766
6037278102,"Playa del Rey, Los Angeles, CA",61671
6059001707,"Fullerton, CA",61668
6059021814,"Brea, CA",61607
6037269300,"Cheviot Hills, Los Angeles, CA",61600
6037701601,"Northeast, Santa Monica, CA",61555
6037134421,"West Hills, Los Angeles, CA",61489
6111007405,"Oak Park, CA",61465
6037403304,"Valle Lindo, Diamond Bar, CA",61390
6037141600,"Sherman Oaks, Los Angeles, CA",61390
6037265510,"Westwood, Los Angeles, CA",61374
6059075703,"Santa Ana, CA",61373
6111005906,"Westlake Village, CA",61363
6059052513,"Woodbridge, Irvine, CA",61350
6111007609,"Moorpark, CA",61340
6111005802,"Newbury Park, Thousand Oaks, CA",61302
6111007201,"Thousand Oaks, CA",61281
6037408629,"Hacienda Heights, CA",61276
6111007513,"Simi Valley, CA",61123
6037480500,"South Pasadena, CA",61073
6037300902,"Glenoaks Canyon, Glendale, CA",60985
6037554512,"Cerritos, CA",60942
6037403324,"Valle Lindo, Diamond Bar, CA",60882
6037464000,"Pasadena, CA",60875
6037188202,"Central LA, Los Angeles, CA",60870
6111007507,"Simi Valley, CA",60857
6037139600,"Encino, Los Angeles, CA",60820
6037554519,"Cerritos, CA",60815
6059052419,"Tustin, CA",60801
6037106641,"Granada Hills, Los Angeles, CA",60774
6037701000,"Beverly Hills, CA",60771
6037297400,"San Pedro, Los Angeles, CA",60724
6059021922,"Anaheim Hills, Anaheim, CA",60717
6065030601,"Alessandro Heights, Riverside, CA",60681
6037113322,"Chatsworth, Los Angeles, CA",60655
6059099217,"Huntington Beach, CA",60623
6037430200,"Bradbury, CA",60540
6037670405,"Rancho Palos Verdes, CA",60479
6037500202,"East Whitter, Whittier, CA",60476
6059110118,"Cypress, CA",60453
6037400206,"Claremont, CA",60409
6037271600,"Mar Vista, Los Angeles, CA",60407
6037461700,"North Arroyo, Pasadena, CA",60383
6059099238,"Huntington Beach, CA",60379
6059021923,"Anaheim Hills, Anaheim, CA",60358
6059052525,"Lower Peters Canyon, Irvine, CA",60353
6037670403,"Rancho Palos Verdes, CA",60317
6065042208,"Canyon Crest, Riverside, CA",60281
6037670413,"Rancho Palos Verdes, CA",60188
6059021912,"Orange, CA",60143
6037137302,"Woodland Hills, Los Angeles, CA",60135
